Round;Date;HomeTeam;GuestTeam;Score;ScoreHalfTime
9;9.10.2021 14:00;Sportunion Raiffeisen Geretsberg;Wiener Sport-Club;3:1;(0:1)
10;17.10.2021 14:00;Sportunion Raiffeisen Geretsberg;FC Altera Porta;5:1;(3:1)
10;17.10.2021 13:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Union LUV Graz;3:3;(2:2)
10;17.10.2021 11:00;FC Mohren Dornbirn Damen;Wildcats 11teamsports Krottendorf;0:2;(0:1)
10;17.10.2021 11:00;RW Rankweil;SC Neusiedl am See 1919;3:0;(1:0)
10;16.10.2021 17:00;SV Horn;USC Landhaus;3:2;(2:1)
10;16.10.2021 15:00;Wiener Sport-Club;Carinthians LIWOdruck Hornets;0:0;(0:0)
11;31.10.2021 14:00;Carinthians LIWOdruck Hornets;FC Altera Porta;5:0;(3:0)
11;31.10.2021 14:00;SV Fenastra Krenglbach;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;2:3;(2:2)
11;31.10.2021 11:00;USC Landhaus;FC Mohren Dornbirn Damen;2:6;(1:5)
11;30.10.2021 15:00;SC Neusiedl am See 1919;SV Horn;1:1;(0:0)
11;30.10.2021 15:00;Union LUV Graz;Wiener Sport-Club;2:1;(2:1)
11;30.10.2021 12:30;Sportunion Raiffeisen Geretsberg;RW Rankweil;0:1;(0:0)
12;7.11.2021 14:00;Wildcats 11teamsports Krottendorf;USC Landhaus;4:2;(0:0)
12;7.11.2021 11:00;FC Mohren Dornbirn Damen;SC Neusiedl am See 1919;4:0;(2:0)
12;7.11.2021 11:00;RW Rankweil;Carinthians LIWOdruck Hornets;2:1;(1:1)
12;6.11.2021 17:00;SV Horn;Sportunion Raiffeisen Geretsberg;3:1;(1:0)
12;6.11.2021 16:00;FC Altera Porta;Union LUV Graz;0:2;(0:1)
12;6.11.2021 15:00;Wiener Sport-Club;SV Fenastra Krenglbach;6:0;(3:0)
13;21.11.2021 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Wiener Sport-Club;4:3;(4:1)
13;21.11.2021 11:00;Union LUV Graz;RW Rankweil;2:0;(0:0)
13;21.11.2021 10:30;Carinthians LIWOdruck Hornets;SV Horn;1:1;(0:1)
13;20.11.2021 14:00;SC Neusiedl am See 1919;Wildcats 11teamsports Krottendorf;0:7;(0:3)
13;20.11.2021 14:00;SV Fenastra Krenglbach;FC Altera Porta;5:1;(1:1)
13;20.11.2021 14:00;Sportunion Raiffeisen Geretsberg;FC Mohren Dornbirn Damen;1:2;(0:1)
14;13.3.2022 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;FC Altera Porta;15:2;(5:1)
14;13.3.2022 14:00;Sportunion Raiffeisen Geretsberg;Wildcats 11teamsports Krottendorf;0:3;(0:1)
14;13.3.2022 14:00;Union LUV Graz;SV Horn;1:4;(1:1)
14;13.3.2022 12:15;Carinthians LIWOdruck Hornets;FC Mohren Dornbirn Damen;3:0;(1:0)
14;12.3.2022 15:00;SC Neusiedl am See 1919;USC Landhaus;2:1;(1:1)
14;12.3.2022 13:00;SV Fenastra Krenglbach;RW Rankweil;2:3;(1:2)
15;26.5.2022 14:30;FC Mohren Dornbirn Damen;Union LUV Graz;2:1;(0:1)
15;20.3.2022 14:30;Wildcats 11teamsports Krottendorf;Carinthians LIWOdruck Hornets;2:2;(1:2)
15;20.3.2022 12:00;FC Altera Porta;Wiener Sport-Club;2:3;(2:0)
15;20.3.2022 12:00;USC Landhaus;Sportunion Raiffeisen Geretsberg;3:1;(1:1)
15;20.3.2022 11:00;RW Rankweil;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:0;(0:0)
15;19.3.2022 14:00;SV Horn;SV Fenastra Krenglbach;2:1;(0:1)
16;27.3.2022 15:00;Union LUV Graz;Wildcats 11teamsports Krottendorf;1:3;(1:1)
16;27.3.2022 14:00;Carinthians LIWOdruck Hornets;USC Landhaus;3:0;(2:0)
16;27.3.2022 13:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;SV Horn;2:1;(2:0)
16;27.3.2022 11:30;Wiener Sport-Club;RW Rankweil;3:0;(1:0)
16;27.3.2022 11:00;SV Fenastra Krenglbach;FC Mohren Dornbirn Damen;1:2;(1:2)
16;26.3.2022 15:00;Sportunion Raiffeisen Geretsberg;SC Neusiedl am See 1919;2:0;(1:0)
17;10.4.2022 12:00;USC Landhaus;Union LUV Graz;1:4;(0:3)
17;10.4.2022 11:00;FC Mohren Dornbirn Damen;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;3:2;(0:1)
17;10.4.2022 11:00;RW Rankweil;FC Altera Porta;3:1;(2:0)
17;9.4.2022 16:00;SV Horn;Wiener Sport-Club;5:5;(3:0)
17;9.4.2022 16:00;Wildcats 11teamsports Krottendorf;SV Fenastra Krenglbach;2:1;(0:0)
17;9.4.2022 15:00;SC Neusiedl am See 1919;Carinthians LIWOdruck Hornets;0:4;(0:3)
18;17.4.2022 11:30;Wiener Sport-Club;FC Mohren Dornbirn Damen;4:6;(1:4)
18;16.4.2022 15:00;Carinthians LIWOdruck Hornets;Sportunion Raiffeisen Geretsberg;3:0;(1:0)
18;16.4.2022 15:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Wildcats 11teamsports Krottendorf;3:1;(2:0)
18;16.4.2022 15:00;SV Fenastra Krenglbach;USC Landhaus;1:2;(0:1)
18;16.4.2022 13:00;Union LUV Graz;SC Neusiedl am See 1919;9:0;(4:0)
18;15.4.2022 20:00;FC Altera Porta;SV Horn;0:4;(0:2)
19;24.4.2022 15:00;Wildcats 11teamsports Krottendorf;Wiener Sport-Club;5:1;(2:0)
19;24.4.2022 12:00;USC Landhaus;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;1:5;(0:2)
19;24.4.2022 11:00;SV Horn;RW Rankweil;4:0;(2:0)
19;24.4.2022 10:45;FC Mohren Dornbirn Damen;FC Altera Porta;13:0;(5:0)
19;23.4.2022 15:00;SC Neusiedl am See 1919;SV Fenastra Krenglbach;1:5;(0:2)
19;23.4.2022 14:00;Sportunion Raiffeisen Geretsberg;Union LUV Graz;1:1;(1:0)
20;1.5.2022 15:00;Wiener Sport-Club;USC Landhaus;3:3;(1:1)
20;1.5.2022 13:30;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;SC Neusiedl am See 1919;7:0;(3:0)
20;1.5.2022 11:00;FC Altera Porta;Wildcats 11teamsports Krottendorf;0:2;(0:2)
20;30.4.2022 16:00;SV Fenastra Krenglbach;Sportunion Raiffeisen Geretsberg;4:3;(3:2)
20;30.4.2022 15:00;RW Rankweil;FC Mohren Dornbirn Damen;0:2;(0:0)
20;30.4.2022 14:00;Union LUV Graz;Carinthians LIWOdruck Hornets;3:1;(1:0)
21;8.5.2022 14:00;Carinthians LIWOdruck Hornets;SV Fenastra Krenglbach;3:0;(2:0)
21;8.5.2022 12:00;USC Landhaus;FC Altera Porta;7:3;(6:1)
21;8.5.2022 11:00;FC Mohren Dornbirn Damen;SV Horn;1:1;(1:1)
21;8.5.2022 11:00;Wildcats 11teamsports Krottendorf;RW Rankweil;9:1;(2:0)
21;7.5.2022 15:00;SC Neusiedl am See 1919;Wiener Sport-Club;2:4;(1:2)
21;7.5.2022 14:00;Sportunion Raiffeisen Geretsberg;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;2:5;(1:4)
22;6.6.2022 15:00;SV Horn;Wildcats 11teamsports Krottendorf;1:3;(0:2)
22;15.5.2022 12:00;FC Altera Porta;SC Neusiedl am See 1919;1:2;(1:2)
22;15.5.2022 12:00;Wiener Sport-Club;Sportunion Raiffeisen Geretsberg;3:1;(1:1)
22;15.5.2022 11:00;RW Rankweil;USC Landhaus;2:0;(2:0)
22;14.5.2022 15:00;SV Fenastra Krenglbach;Union LUV Graz;3:4;(0:3)
22;14.5.2022 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Carinthians LIWOdruck Hornets;1:0;(0:0)
23;22.5.2022 14:00;Carinthians LIWOdruck Hornets;Wiener Sport-Club;5:2;(2:2)
23;22.5.2022 14:00;FC Altera Porta;Sportunion Raiffeisen Geretsberg;0:2;(0:2)
23;22.5.2022 11:00;SC Neusiedl am See 1919;RW Rankweil;1:2;(0:0)
23;22.5.2022 11:00;Wildcats 11teamsports Krottendorf;FC Mohren Dornbirn Damen;1:2;(1:2)
23;21.5.2022 14:30;USC Landhaus;SV Horn;0:4;(0:1)
23;21.5.2022 14:00;Union LUV Graz;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:1;(0:0)
24;29.5.2022 16:00;SV Horn;SC Neusiedl am See 1919;1:0;(0:0)
24;29.5.2022 15:00;Wiener Sport-Club;Union LUV Graz;1:6;(1:2)
24;29.5.2022 14:00;FC Altera Porta;Carinthians LIWOdruck Hornets;0:4;(0:3)
24;29.5.2022 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;SV Fenastra Krenglbach;6:3;(4:3)
24;29.5.2022 11:00;FC Mohren Dornbirn Damen;USC Landhaus;6:1;(0:0)
24;28.5.2022 14:00;RW Rankweil;Sportunion Raiffeisen Geretsberg;1:1;(0:1)
25;5.6.2022 14:30;Union LUV Graz;FC Altera Porta;7:0;(4:0)
25;5.6.2022 11:00;Carinthians LIWOdruck Hornets;RW Rankweil;3:0;(1:0)
25;5.6.2022 11:00;SC Neusiedl am See 1919;FC Mohren Dornbirn Damen;0:10;(0:5)
25;4.6.2022 17:00;Sportunion Raiffeisen Geretsberg;SV Horn;3:1;(2:0)
25;4.6.2022 17:00;USC Landhaus;Wildcats 11teamsports Krottendorf;3:7;(2:4)
25;4.6.2022 15:00;SV Fenastra Krenglbach;Wiener Sport-Club;3:2;(1:1)
26;11.6.2022 17:00;Wiener Sport-Club;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:1;(0:1)
26;11.6.2022 17:00;Wildcats 11teamsports Krottendorf;SC Neusiedl am See 1919;7:0;(3:0)
26;11.6.2022 16:00;SV Horn;Carinthians LIWOdruck Hornets;1:0;(1:0)
26;11.6.2022 15:00;FC Mohren Dornbirn Damen;Sportunion Raiffeisen Geretsberg;4:0;(1:0)
26;11.6.2022 14:00;FC Altera Porta;SV Fenastra Krenglbach;2:3;(1:0)
26;12.6.2022 11:00;RW Rankweil;Union LUV Graz;1:2;(0:0)
