Autor;Titel;Verlag;ISBN
Battut, Eric;Der rote Max;Bohem press;385581371X
Bauer, Ina;Ein riesiges Tier;vpm;3923566549
Bauer, Insa;Achtung, Auftrag!;Loewe;3785540396
Bauer, Insa;Bibel-Wissen;Loewe;3785556659
Bauer, Insa;Das Rätsel im alten Schloss;Loewe;3785538049
Bauer, Insa;Der Erpresser von London;Coppenrath;3815740711
Bauer, Insa;Der geheimnisvolle Dachboden;Loewe;3785535473
Bauer, Insa;Der verschwundene Dalmatiner;Loewe;3785536712
Bauer, Insa;Detektiv Kralle jagt den Paketdieb;Arena;3401075683
Bauer, Insa;Detektiv-Wissen;Loewe;3785556667
Bauer, Insa;Detektiv-Wissen;Loewe;3785556667
Bauer, Insa;Didi Detek;Carlsen;3551532680
Bauer, Insa;Didi Detek und der Zwiebackdieb;Carlsen;3551532230
Bauer, Insa;Dinosaurier-Wissen;Loewe;3785552149
Bauer, Insa;Doppeltes Spiel;Loewe;378554037X
Bauer, Insa;Ein toller Schultag;Arena;3401083414
Bauer, Insa;Geheimnis auf Burg Falkenstein;Loewe;3785539606
Bauer, Insa;Geheimnis um die alte Villa;Cbj;3570130495
Bauer, Insa;Hannibal geht in die Luft;Carlsen;3551043515
Bauer, Insa;Hannibal, der Weihnachtshase;Carlsen;3551058369
Bauer, Insa;Hannibals Frühlingsrolle;Carlsen;3551057079
Bauer, Insa;Hannibals Gutenachtgeschichte;Carlsen;3551057052
Bauer, Insa;Indianer-Wissen;Loewe;3785553803
Bauer, Insa;Knifflige Fälle für Pia und Mecki;Arena;3401073281
Bauer, Insa;Kühle Köpfe - Heiße Spuren - Detektivgeschichten zum Mitraten;Arena;3401003860
Bauer, Insa;Lehrer unter Verdacht;Loewe;3785538057
Bauer, Insa;Lukas und die kleinen Igel;Bertelsmann;3570216470
Bauer, Insa;Mein Ravensburger Buch der Pferde & Ponys (I);Ravensburger;3473551503
Bauer, Insa;Mein Ravensburger Buch der Pferde & Ponys (II);Ravensburger;3473551503
Bauer, Insa;Mein Ravensburger Buch der Pferde & Ponys (III);Ravensburger;3473551503
Bauer, Insa;Mineralien-Wissen;Loewe;378556032X
Bauer, Insa;Pferde-Wissen;Loewe;3785550286
Bauer, Insa;Raudi aus dem Tierheim;Carlsen;3551037302
Bauer, Insa;Rittergeschichten;Arena;340107542X
Bauer, Insa;Schloss der Schatten;gondolino;381122851X
Bauer, Insa;Spuk am Geistersee (hier: Doppeltes Spiel);gondolino;3811227149
Bauer, Insa;Spuk am Geistersee (hier: Spuk am See);gondolino;3811227149
Bauer, Insa;Spuk am See;Loewe;3785536704
Bauer, Insa;Steinzeit-Wissen;Loewe;3785543301
Bauer, Insa;Tatort Lindenschule;Loewe;3785535481
Bauer, Insa;Tierdieben auf der Spur;Loewe;3785540388
Bauer, Insa;Überraschung für den Weihnachtsmann;Edition Bücherbär im Arena Verlag, Würzburg;3401073621
Bauer, Insa;Was steckt hinter Jupitther?;Bertelsmann;3570210340
Bauer, Irmgard;Feuer am See (Roman aus der Bronzezeit);Metz;3927655317
Bauer, Jutta;Abends, wenn ich schlafen geh;Carlsen;355151688X
Bauer, Jutta;Die Königin der Farben;Beltz & Gelberg;3407792212
Bauer, Jutta;Opas Engel;Carlsen;3551515433
Bauer, Jutta;Schreimutter;Beltz & Gelberg;3407792646
Bauer, Marion Dane;Rumpel, der Bär;dtv;3423623381
Bauer, Marion Dane;Winzling;dtv Reihe Hanser;3423622083
Bauer, Marion Dane;Zutritt erst ab 10;dtv junior;3423712473
Bauer, Marion Dane;Zutritt erst ab 10;dtv junior;3423712473
Bauer, Petra A.;An Exciting Cruise, Eine abenteuerliche Kreuzfahrt;Langenscheidt;3468204469
Baugsto, Line;Tara und der Krempelkobold;Dressler;3791526723
Baukhage, Manon;Der Tisch von Otto Hahn (Faszinierende Erfindungen, die unsere Welt veränderten) - Galileo Galilei: Ein neues Bild des Himmels;Ravensburger;3473551198
Baukhage, Manon;Der Tisch von Otto Hahn (Faszinierende Erfindungen, die unsere Welt veränderten) - Isaac Newton: Ein Apfel, zwei Prismen, drei Weltgesetze;Ravensburger;3473551198
Baukhage, Manon;Der Tisch von Otto Hahn (Faszinierende Erfindungen, die unsere Welt veränderten) - Johannes Gutenberg: Lettern, die die Welt veränderten;Ravensburger;3473551198
Baukhage, Manon;Der Tisch von Otto Hahn (Faszinierende Erfindungen, die unsere Welt veränderten) - Johannes Kepler: Planetenbahnen und der Traum vom Mond;Ravensburger;3473551198
Baukhage, Manon u.a.; Technik von A - Z (I);Ravensburger;3473358533
Baukhage, Manon u.a.; Technik von A - Z (II);Ravensburger;3473358533
Baukhage, Manon, u.a.; Technik von A - Z (III);Ravensburger;3473358533
Baum, L. Frank;Der Zauberer von Oos;Dressler;3791535005
Baum, L. Frank;Der Zauberer von Oz;Arena;340104494X
Baum, L. Frank;Der Zauberer von Oz;Coppenrath;3815739896
Baum, L. Frank;Der Zauberer von Oz;Dressler;3791535986
Baumann, Anne-Sophie;Rund ums Wetter - Spannendes von Blitz, Donner und Hagelsturm (I);Esslinger;3480223079
Baumann, Anne-Sophie;Rund ums Wetter - Spannendes von Blitz, Donner und Hagelsturm (II);Esslinger;3480223079
Baumann, Anne-Sophie;Rund ums Wetter - Spannendes von Blitz, Donner und Hagelsturm (III);Esslinger;3480223079
Baumann, Hans;Der Bär und seine Brüder;Ravensburger;3473396400
Baumann, Hans;Der Sohn des Columbus;dtv junior;3423074299
Baumann, Hans;Der Sohn des Columbus;dtv junior;3423074299
Baumann, Hans;Die Drei im blauen Ballon;Thienemann;352241330X
Baumann, Hans;Glücksmärchen;Loewe;3785518870
Baumann, Hans;Gruselmärchen;Loewe;3785519087
Baumann, Hans;Ich zog mit Hannibal;dtv junior;342307048X
Baumann, Hans;Ich zog mit Hannibal;dtv junior;342307048X
Baumann, Hans;Lügenmärchen;Loewe;3785519559
Baumann, Hans;Spaßmärchen;Loewe;3785519095
Baumann, Hans;Tiermärchen;Loewe;3785518889
Baumann, Hans;Wunschmärchen;Loewe;3785519567
Baumann, Kurt;Piro und die Dampflok;Findling Buchverlag Lüneburg;3935541635
Baumann, Stephan;So leben wir Ritter;ars Edition;3760724930
Baumbach, Martina;Das Schatzsucherfest oder Rikes ganz besonderer Geburtstag;Gabriel;3522301145
Baumbach, Martina;Jetzt trau ich mich!;Gabriel;3522301390
Baumbach, Martina;Jule - bärenstark!;Oetinger;378913161X
Baumbach, Martina;Paul zieht aus;Oetinger;3789106267
Baumbach, Martina;Paul zieht aus;Oetinger;3789106267
Baumeister, Anton;Das große Bilderlexikon (I);Loewe;3785559976
Baumeister, Anton;Das große Bilderlexikon (II);Loewe;3785559976
Baumeister, Anton;Das große Bilderlexikon (III);Loewe;3785559976
Baumgart, Klaus;Die Feder;Baumhaus;3831504202
Baumgart, Klaus;Elli - Ungeheuer geheim;Baumhaus;3833901918
Baumgart, Klaus;Laura kommt in die Schule;Baumhaus;3831504008
Baumgart, Klaus;Laura und der Freundschaftsbaum;Baumhaus;3833901187
Baumgart, Klaus;Laura und die Katze;Carlsen;3551057737
Baumgart, Klaus;Laura's Star;Little Tiger;1854306960
Baumgart, Klaus;Lauras erste Übernachtung;Baumhaus;3833901055
Baumgart, Klaus;Lauras Ferien;Baumhaus;3833901071
Baumgart, Klaus;Lauras Geheimnis;Baumhaus;3831503087
Baumgart, Klaus;Lauras Stern;Baumhaus;3831500061
Baumgart, Klaus;Lauras Stern - Im Park;Carlsen;3551057737
Baumgart, Klaus;Lauras Stern - Laura und der Sturm;Carlsen;3551057737
Baumgart, Klaus;Lauras Stern - Laura'nin yildizi;Baumhaus;3831500045
Baumgart, Klaus;Lauras Stern - Unterwegs mit dem Fahrrad;Carlsen;3551057737
Baumgart, Klaus;Lauras Stern und die Traummonster;Baumhaus;3833900601
Baumgart, Klaus;Lauras Sternenabenteuer (2 Geschichten);Baumhaus;3833900806
Baumgart, Klaus;Lauras Weihnachtsstern;Baumhaus;3909480071
Baumgart, Klaus;Lenny und Twiek - Das Nichts;Baumhaus;3833901799
Baumgart, Klaus;Lenny und Twiek - Freund gesucht;Baumhaus;3833901802
Baumgart, Klaus;Lukas und der Wunschkäfer;Baumhaus;3909484239
Baumgart, Klaus;Nils und der Nikolaus;Baumhaus;3909480233
Baumgart, Klaus;Tobi, ein allerliebstes Ungeheuer;Baumhaus;3909480063
Baumgart, Klaus;Überrascht;Baumhaus;3831500134
Baumgart, Klaus;Ungeheuerlich;Novatext;3700409117
Baumgarten, Fritz;Ferien in Wichtelhausen;Schwager und Steinlein;389600476X
Baumgarten, Fritz;Fröhliche Weihnachten!;Esslinger;3872863312
Baumgarten, Fritz;Thomas bei den Zwergen;Schwager und Steinlein;3896004786
Baur, Marie;Axel und Ernst: Freunde?!;Hamburger Kinderbuch Verlag;3866310056
Bausenwein, Christoph;Fußballbuch;Tessloff;3788609680
Baussier, Sylvie;Die Römer;Fleurus;389717281X
Bayer, Ingeborg;Jacobäas Traum;Arena;3401054120
Bayer, Ingeborg;Jacobäas Traum;Arena;3401054120
Bayer, Michael;Ich habe Schnupfen;Carlsen;355107013X
Bayer, Robert;Eine Mehlnase kommt selten allein;G & G Verlagsgesellschaft;3707403440
Bayer, Rooobert;Das Versteck auf dem Bauernhof;Loewe;3785541163
Beames, Margaret;Die Glocke von Shearwater;Ravensburger;3473522236
Beatrix Potter;The Tale of Peter Rabbit;Frederick Warne;723247706X
Beaumont, Émilie; Dein buntes Wörterbuch der Berge (I);Fleurus;3897170795
Beaumont, Émilie; Dein buntes Wörterbuch der Berge (II);Fleurus;3897170795
Beaumont, Émilie; Dein buntes Wörterbuch der Berge (III);Fleurus;3897170795
Beaumont, Émilie; Dein buntes Wörterbuch der Berge (IV);Fleurus;3897170795
Beaumont, Emilie; Dein buntes Wörterbuch der Bibel (I);Fleurus;3897170868
Beaumont, Emilie; Dein buntes Wörterbuch der Bibel (II);Fleurus;3897170868
Beaumont, Emilie; Dein buntes Wörterbuch der Bibel (III);Fleurus;3897170868
Beaumont, Emilie; Dein buntes Wörterbuch der Bibel (IV);Fleurus;3897170868
Beaumont, Emilie; Dein buntes Wörterbuch der Bibel (V);Fleurus;3897170868
Beaumont, Emilie; Dein buntes Wörterbuch der Tiere (I);Fleurus;3897172399
Beaumont, Emilie; Dein buntes Wörterbuch der Tiere (II);Fleurus;3897172399
Beaumont, Emilie; Dein buntes Wörterbuch der Tiere (III);Fleurus;3897172399
Beaumont, Emilie; Dein buntes Wörterbuch der Tiere (IV);Fleurus;3897172399
Beaumont, Emilie; Dein buntes Wörterbuch Erfindungen (I);Fleurus;3897171627
Beaumont, Emilie; Dein buntes Wörterbuch Erfindungen (II);Fleurus;3897171627
Beaumont, Emilie; Dein buntes Wörterbuch Erfindungen (III);Fleurus;3897171627
Beaumont, Emilie; Dein buntes Wörterbuch Erfindungen (IV);Fleurus;3897171627
Beaumont, Emilie; Dein buntes Wörterbuch Geschichte (I);Fleurus;3897173247
Beaumont, Emilie; Dein buntes Wörterbuch Geschichte (II);Fleurus;3897173247
Beaumont, Emilie; Dein buntes Wörterbuch Geschichte (III);Fleurus;3897173247
Beaumont, Emilie; Dein buntes Wörterbuch Geschichte (IV);Fleurus;3897173247
Beaumont, Emilie; Dein buntes Wörterbuch Geschichte (V);Fleurus;3897173247
Beaumont, Émilie;Dein buntes Wörterbuch - Dinosaurier und Vorgeschichte (III);Fleurus;3897172186
Beaumont, Emilie;Dein buntes Wörterbuch des Weltraums;Fleurus;3897170728
Beaumont, Émilie;Dinosaurier und Vorgeschichte (I);Fleurus;3897172186
Beaumont, Émilie;Dinosaurier und Vorgeschichte (II);Fleurus;3897172186
Beaumont, Emilie;Insekten;Fleurus;3897173034
Beaumont, Emilie;Raubtiere;Fleurus;3897172259
Beaumont, Emilie; Dein buntes Wörterbuch der Kinder der Welt (II);Fleurus;3897170221
Bechstein, Ludwig;Das Märchen vom Schlaraffenland;Karl Müller;3898938719
Bechstein, Ludwig;Der Müller und die Nixe;Karl Müller;3898938719
Bechstein, Ludwig;Goldmarie und Pechmarie;Karl Müller;3898939057
Bechstein, Ludwig;Märchen von Ludwig Bechstein;Beltz & Gelberg;3407801807
Bechtold, Andreas;Pico und die Feenfalle;Thienemann;3522180542
Beck, Alf;MuTIG und der Königsvogel;Droste Verlag, Düsseldorf;3770011538
Beck, Ian;Felix Furchtlos;Boje im Pestalozzi Verlag;3414820137
Beck, Marc;Gefangen im Land der Dinosaurier;gondolino;3811229168
Beck, Paul;Expedition Afrika - Abenteuer Safari (I);Oetinger;3789184187
Beck, Paul;Expedition Afrika - Abenteuer Safari (II);Oetinger;3789184187
Beck, Paul;Expedition Afrika - Abenteuer Safari (III);Oetinger;3789184187
Beck, Rufus (Herausgeber);Geschichten für uns Kinder (Teil 1);Rowohlt;3871345547
Beckedorff, Rainer F.;Pferdegeschichten;gondolino;3811219235
Becker, Antoinette;Und was wird aus uns?;Ravensburger;347333507X
Becker, Barbara;Mina oder: Wer rettet Abazattara?;Kallmeyer;3780080087
Becker, Christoph;Paul Gauguin - Eine Reise nach Tahiti;Prestel;3791319523
Becker, Mario;Packendes Finale;Kerle;3451704498
Becker, Mario;Wer holt die Meisterschaft;Kerle;3451704374
Becker,Suzy;Mannis Kühe machen Mühe;Boje;3414820056
Beckett, Wendy;Der Herzog und die Bauern - Vom Leben im Mittelalter;Prestel;3791317989
Beckmann, Lena;Frech und funky;Econ;3612273698
Beddor, Frank;Das Spiegellabyrinth;dtv junior extra;3423712104
Bedford, David;Kleine Maus ganz groß;Pestalozzi;3414819341
Bedürftig, Friedemann;Goethe - Zum Schauen bestellt;Ehapa Comic;377041750X
Beecher-Stowe, Harriet;Onkel Toms Hütte;unipart (im area Verlag, Erftstadt);389996148X
Beecher-Stowe, Harriet;Onkel Toms Hütte;unipart (im area Verlag, Erftstadt);389996148X
Beer, Hans de;Alles im Griff!;Nord-Süd;3314009313
Beer, Hans de;Bitte recht freundlich!;Nord-Süd;3314005563
Beer, Hans de;Der kleine Eisbär (Malbuch);Nord-Süd;3314012969
Beer, Hans de;Der kleine Eisbär 2, Eine Freundin für Caruso;Xenos;3821232420
Beer, Hans de;Der kleine Eisbär besucht seine Freunde (Malbuch);Nord-Süd;3314014007
Beer, Hans de;Der kleine Eisbär hat viele Freunde;Carlsen;3551057621
Beer, Hans de;Der kleine Eisbär rettet die Rentiere;Nord-Süd;3314014503
Beer, Hans de;Der kleine Eisbär und der Angsthase;Nord-Süd;3314006756
Beer, Hans de;Der kleine Eisbär und der Angsthase;Findling Buchverlag Lüneburg;3937054138
Beer, Hans de;Der kleine Eisbär und der Angsthase - Küçük Beyaz Ayi ile Korkak Tavsan;Nord-Süd;3314011660
Beer, Hans de;Dicke Luft!;Nord-Süd;3314007663
Beer, Hans de;Ich bin MäuseKatzenBärenStark;Findling Buchverlag Lüneburg;3937054537
Beer, Hans de;Kleiner Braunbär, wovon träumst du?;Nord-Süd;3314006039
Beer, Hans de;Kleiner Eisbär hilf mir fliegen!;Nord-Süd;3314011776
Beer, Hans de;Kleiner Eisbär in der Walbucht;Nord-Süd;3314016255
Beer, Hans de;Kleiner Eisbär komm bald wieder!;Nord-Süd;331400690X
Beer, Hans de;Kleiner Eisbär komm bald wieder!;Nord-Süd;331400690X
Beer, Hans de;Kleiner Eisbär lass mich nicht allein;Nord-Süd;3314009550
Beer, Hans de;Kleiner Eisbär nimm mich mit;Nord-Süd;3314003447
Beer, Hans de;Kleiner Eisbär, kennst du den Weg?;Nord-Süd;3314007574
Beer, Hans de;Kleiner Eisbär, wohin fährst du?;Nord-Süd;3314002904
Beer, Hans de;Küçük Beyaz Ayi, Yardim Et Uçayim! - Kleiner Eisbär hilf mir fliegen!;Nord-Süd;3314011997
Beer, Hans de;Le voyage de Plume;Éditions Nord Sud;3314216033
Beer, Hans de;Leonardos großer Traum;Nord-Süd;3314013671
Beer, Hans de;Little Polar Bear;Nord-Süd;1558583580
Beer, Hans de;Little Polar Bear and the Brave Little Hare;Nord-Süd;1558583572
Beer, Hans de;Little Polar Bear, Take Me Home!;Nord-Süd;073581497X
Beer, Hans de;Papa Wapper und das rote Wohnmobil;Nord-Süd;3314006594
Beer, Hans de;Pixi-Bücher - Der kleine Eisbär hat Spaß;Pixi Buch;3551057621
Beer, Hans de;Plume au pays des tigres;Éditions Nord Sud;3314212178
Beer, Hans de;Plume en bateau;Éditions Nord Sud;3314208987
Beer, Hans de;Plume et la station polaire;Éditions Nord Sud;3314212186
Beer, Hans de;Plume et le chien de traîneau;Éditions Nord Sud;3314214871
Beer, Hans de;Plume s'échappe;Éditions Nord Sud;3314209002
Beer, Hans de;Verflixt und zugenagelt!;Nord-Süd;3314009194
Behling, Jan;Vom Geld (I);Kosmos;344010186X
Behling, Jan;Vom Geld (II);Kosmos;344010186X
Behling, Jan;Vom Geld (III);Kosmos;344010186X
Behn, Harry;Halloween;North South Books;7358160935
Behncke, Waldrun;Gottfried, das fliegende Schwein;Beltz & Gelberg;3407780583
Behrendt-Roden, Ulla;Technik (I);Brockhaus, Mannheim;3765322911
Behrendt-Roden, Ulla;Technik (II);Brockhaus, Mannheim;3765322911
Behrendt-Roden, Ulla;Technik (III);Brockhaus, Mannheim;3765322911
Behrendt-Roden, Ulla;Technik (IV);Brockhaus, Mannheim;3765322911
Behrendt-Roden, Ulla;Technik (V);Brockhaus, Mannheim;3765322911
Behrendt-Roden, Ulla;Technik (VI);Brockhaus, Mannheim;3765322911
Behrens, Katja;Hathaway Jones;Beltz & Gelberg;3407808968
Behrens, Katja;Hathaway Jones und die schöne Flora Dell;Beltz & Gelberg;340774045X
Beile-Bowes, Alice;Robin Hood and the Magic Trick;Klett;3125713307
Beile-Bowes, Alice;Robin Hood and the Magic Trick;Klett;3125713307
Bekker, Alfred;Der Hund des Unheils;Ueberreuter;3800051494
Bekker, Alfred;Der neue Star;Ueberreuter;3800053721
Bekker, Alfred;Gefangen in der belagerten Stadt ;Ueberreuter;3800053144
Bekker, Alfred;Gefangen in der belagerten Stadt ;Ueberreuter;3800053144
Bekker, Alfred;Leonardo und der Fluch des Schwarzen Todes;Arena;3401500120
Bekker, Alfred;Leonardo und die Bruderschaft des heiligen Schwerts;Arena;3401500139
Bekker, Alfred;Leonardo und die Bruderschaft des heiligen Schwerts;Arena;3401500139
Bekker, Alfred;Ragnar, der Wikinger;Ueberreuter;3800054191
Bekker, Alfred;Überfall auf das Drachenschiff;dtv junior;3423712929
Bekker, Alfred;Verschwörung gegen Baron Wildenstein;dtv junior;3423713291
Bekker, Alfred;Verschwörung gegen Baron Wildenstein;Ueberreuter;3800051214
Bekker, Alfred;Wolfram und die Raubritter;Ueberreuter;3800052296
Belinga Belinga, Jean-Felix;Wir drei gegen Onkel Chef;Beltz & Gelberg;3407783094
Bellinda;Alarm im Laboratorium (Ein Ratekrimi um Marie Curie);Loewe;3785563779
Bellinda;Das gestohlene Wikingerschwert;gondolino;3811230026
Bellinda;Der gestohlene Geigenkasten (Ein Ratekrimi um Albert Einstein);Loewe;3785557582
Bellinda;Diamantenraub um Mitternacht. Ein Ratekrimi aus Südafrika;Loewe;3785557590
Bellinda;Geheimnis auf der Ritterburg;gondolino;381122915X
Bellinda;Ostergeschichten;gondolino;3811230743
Bellinda;Ostergeschichten;gondolino;3811227025
Bellinda;Verrat unterm Sternenhimmel (ein Ratekrimi um Galileo Galilei);Loewe;3785545614
Bemelmans, Ludwig;Madeline and the Bad Hat;Viking Books;670446149A
Bemelmans, Ludwig;Madeline's Christmas;Puffin Books;1405665035
Bemelmans, Ludwig;Madeline's Rescue;Viking Books;140566511
Ben Jelloun, Tahar;Die Schule der Armen;Rowohlt;3499212595
Ben Jelloun, Tahar;Papa, was ist der Islam? - Gespräch mit meinen Kindern;BVT Berliner Tb.-Verlag;3833300507
Ben Jelloun, Tahar;Papa, was ist der Islam? - Gespräch mit meinen Kindern;BVT Berliner Tb.-Verlag;3833300507
Ben Jelloun, Tahar;Papa, was ist ein Fremder?;ro ro ro;3499211459
Ben Kemoun, Hubert;Tous les jours, c'est foot !;Nathan Jeunesse;2092824082
Ben Nevis;Fluch des Piraten;Kosmos;3440109003
Bender, Lionel;Erfindungen. Vom Handbohrer der Steinzeit bis zum Superrechner unserer Tage (I);Gerstenberg;3806745862
Bender, Lionel;Erfindungen. Vom Handbohrer der Steinzeit bis zum Superrechner unserer Tage (II);Gerstenberg;3806745862
Bender, Lionel;Erfindungen. Vom Handbohrer der Steinzeit bis zum Superrechner unserer Tage (III);Gerstenberg;3806745862
Benke, Britta;Kandinsky - Wer ist eigentlich dieser Kandinsky (II);Kindermann;3934029329
Benke, Britta;Kandinsky - Wer ist eigentlich dieser Kandinsky (III);Kindermann;3934029329
Benke, Britta;Kandinsky - Wer ist eigentlich dieser Kandinsky? (I);Kindermann;3934029329
Benke, Britta;Picasso - Wer ist eigentlich dieser Picasso?;Kindermann;3934029272
Bennett, Paul;Die Unterwasserwelt;ars Edition;3760746977
Bennett, Rodney;Adlerjunge;dtv junior;3423703377
Benra, Alexander;Robin Hood - Abenteuergeschichten;Ueberreuter;3800053292
Benra, Alexander;Schulgeschichten;Tosa;3850030105
Bente, Liz L. Daehli;Helle fängt sich einen Opa;Dressler;3791503901
Bentele, Günther;Blutiges Pergament;cbt;357030132X
Bentele, Günther;Blutiges Pergament;cbt;357030132X
Bentele, Günther;Riss im Spiegel;Thienemann;3522177533
Benton, Mike;Die Welt der Dinosaurier (I);Arena;340105435X
Benton, Mike;Die Welt der Dinosaurier (II);Arena;340105435X
Benton, Mike;Die Welt der Dinosaurier (III);Arena;340105435X
Berbig, Renus;Hörst du auch das Gras wachsen?;Carlsen;3551057478
Berbig, Renus;Ritta Britta;Carlsen;3551057427
Berenstain, Stan;The Berenstain Bears' Funny Valentine;Random House Books for Young Readers;375811265
Berg, Christian;Das Monster Hagodadus;Thienemann;3522177398
Berg, Christian;Tamino Pinguin;Thienemann;3522174356
Berg, Christian;Tamino Pinguin und der Geist Manitus;Thienemann;3522174666
Berg, Christian;Tamino Pinguin und der kleine, böse Klaus;Thienemann;3522175506
Berg, Christian;Tamino Pinguin und die Sache mit dem Ei;Thienemann;3522174356
Berg, Christian;Tamino und das größte und schönste Geschenk der Welt;Carlsen;3551057672
Berg, Judit;Was für ein Wetter!;Schenk Verlag;3939337234
Berg, Katharina;Philipp und der neue Papa;Arena;3401072773
Berger, Antonia (Hg);Sommer, Sonne, Ferienglück;Omnibus;3570218163
Berger, Barbara;Großvater Dämmerlicht;Gerstenberg;3806740267
Berger, Ilse;Brumm Brumm der kleine Bär;Schwager und Steinlein;3896001647
Berger, Margot;Ein starkes Team;Arena;3401019732
Berger, Margot;Freundschaftsprobe - Eine wahre Pferdegeschichte;Ensslin im Arena Verlag, Würzburg;3401452789
Berger, Margot;Reiterhofgeschichten;Arena;3401085085
Berger, Margot;Rettung aus der Flut;Ensslin im Arena Verlag, Würzburg;3401452525
Berger, Margot;SOS - Pferd verschwunden;Arena;3401019724
Berger, Margot;Wilde Jagd am Meer;Ensslin im Arena Verlag, Würzburg;3401451324
Berger, Ulrike;Die Chemie-Werkstatt - Spannende Experimente ganz ohne Labor;Velber im OZ Verlag;3866135092
Berger, Ulrike;Die Hör-Werkstatt. Spannende Experimente mit Klängen und Farben (I);Velber im OZ Verlag;3898582663
Berger, Ulrike;Die Licht-Werkstatt. Spannende Experimente rund um Licht und Farben (I);Velber im OZ Verlag;3898582590
Berger, Ulrike;Die Pflanzen-Werkstatt. Spannende Experimente auf Balkon und Fensterbank (I);Velber im OZ Verlag;3866135084
Berger, Ulrike;Die Sand-Werkstatt Spannende Experimente mit Sand und Wasser(I);Velber im OZ Verlag;389858268X
Berger, Ulrike;Die Sinnes-Werkstatt: Spannende Experimente mit Auge, Hand und Ohr (I);Velber im OZ Verlag;3898582817
Berger, Ulrike;Die Sinnes-Werkstatt: Spannende Experimente mit Auge, Hand und Ohr (II);Velber im OZ Verlag;3898582817
Berger, Ulrike;Die Wasser-Werkstatt. Spannende Experimente rund um Eis und Wasser (I);Velber im OZ Verlag;3898582655
Berger, Ulrike;Die Zauber-Werkstatt (I);Velber im OZ Verlag;3866135513
Berger, Ulrike;Die Zauber-Werkstatt (II);Velber im OZ Verlag;3866135513
Berger, Ulrike;Die Zauber-Werkstatt (III);Velber im OZ Verlag;3866135513
