ID;Round;Date;HomeTeam;GuestTeam;Score;ScoreHalfTime
28;5;11.9.2021 17:00;SV Horn;FC Altera Porta;6:0;(1:0)
29;5;11.9.2021 16:00;SC Neusiedl am See 1919;Union LUV Graz;0:1;(0:0)
30;5;11.9.2021 14:00;Sportunion Raiffeisen Geretsberg;Carinthians LIWOdruck Hornets;1:0;(1:0)
31;6;26.10.2021 11:45;Union LUV Graz;Sportunion Raiffeisen Geretsberg;2:0;(2:0)
32;6;19.9.2021 13:30;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;USC Landhaus;8:2;(3:2)
33;6;19.9.2021 12:00;FC Altera Porta;FC Mohren Dornbirn Damen;1:7;(1:2)
34;6;19.9.2021 11:00;RW Rankweil;SV Horn;0:2;(0:1)
35;6;18.9.2021 16:00;Wiener Sport-Club;Wildcats 11teamsports Krottendorf;2:3;(1:2)
36;6;18.9.2021 14:00;SV Fenastra Krenglbach;SC Neusiedl am See 1919;1:1;(0:1)
37;7;26.9.2021 14:00;Carinthians LIWOdruck Hornets;Union LUV Graz;2:1;(2:1)
38;7;26.9.2021 14:00;Wildcats 11teamsports Krottendorf;FC Altera Porta;6:3;(4:2)
39;7;26.9.2021 13:30;USC Landhaus;Wiener Sport-Club;0:7;(0:3)
40;7;25.9.2021 17:00;Sportunion Raiffeisen Geretsberg;SV Fenastra Krenglbach;5:2;(1:2)
41;7;25.9.2021 16:00;SC Neusiedl am See 1919;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:6;(0:4)
42;7;24.9.2021 19:00;FC Mohren Dornbirn Damen;RW Rankweil;1:1;(1:0)
43;8;3.10.2021 14:00;FC Altera Porta;USC Landhaus;5:1;(2:0)
44;8;3.10.2021 13:30;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Sportunion Raiffeisen Geretsberg;3:0;(1:0)
45;8;3.10.2021 11:00;RW Rankweil;Wildcats 11teamsports Krottendorf;1:2;(1:2)
46;8;3.10.2021 11:00;SV Horn;FC Mohren Dornbirn Damen;0:2;(0:2)
47;8;2.10.2021 15:00;SV Fenastra Krenglbach;Carinthians LIWOdruck Hornets;0:3;(0:1)
48;8;2.10.2021 15:00;Wiener Sport-Club;SC Neusiedl am See 1919;5:3;(2:1)
49;9;10.10.2021 16:00;Union LUV Graz;SV Fenastra Krenglbach;6:1;(3:1)
50;9;10.10.2021 14:00;Carinthians LIWOdruck Hornets;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;1:2;(1:0)
51;9;10.10.2021 14:00;Wildcats 11teamsports Krottendorf;SV Horn;5:3;(2:1)
52;9;10.10.2021 11:00;USC Landhaus;RW Rankweil;2:2;(1:1)
53;9;9.10.2021 16:00;SC Neusiedl am See 1919;FC Altera Porta;1:0;(1:0)
54;9;9.10.2021 14:00;Sportunion Raiffeisen Geretsberg;Wiener Sport-Club;3:1;(0:1)
55;10;17.10.2021 14:00;Sportunion Raiffeisen Geretsberg;FC Altera Porta;5:1;(3:1)
56;10;17.10.2021 13:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Union LUV Graz;3:3;(2:2)
57;10;17.10.2021 11:00;FC Mohren Dornbirn Damen;Wildcats 11teamsports Krottendorf;0:2;(0:1)
58;10;17.10.2021 11:00;RW Rankweil;SC Neusiedl am See 1919;3:0;(1:0)
59;10;16.10.2021 17:00;SV Horn;USC Landhaus;3:2;(2:1)
60;10;16.10.2021 15:00;Wiener Sport-Club;Carinthians LIWOdruck Hornets;0:0;(0:0)
61;11;31.10.2021 14:00;Carinthians LIWOdruck Hornets;FC Altera Porta;5:0;(3:0)
62;11;31.10.2021 14:00;SV Fenastra Krenglbach;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;2:3;(2:2)
63;11;31.10.2021 11:00;USC Landhaus;FC Mohren Dornbirn Damen;2:6;(1:5)
64;11;30.10.2021 15:00;SC Neusiedl am See 1919;SV Horn;1:1;(0:0)
65;11;30.10.2021 15:00;Union LUV Graz;Wiener Sport-Club;2:1;(2:1)
66;11;30.10.2021 12:30;Sportunion Raiffeisen Geretsberg;RW Rankweil;0:1;(0:0)
67;12;7.11.2021 14:00;Wildcats 11teamsports Krottendorf;USC Landhaus;4:2;(0:0)
68;12;7.11.2021 11:00;FC Mohren Dornbirn Damen;SC Neusiedl am See 1919;4:0;(2:0)
69;12;7.11.2021 11:00;RW Rankweil;Carinthians LIWOdruck Hornets;2:1;(1:1)
70;12;6.11.2021 17:00;SV Horn;Sportunion Raiffeisen Geretsberg;3:1;(1:0)
71;12;6.11.2021 16:00;FC Altera Porta;Union LUV Graz;0:2;(0:1)
72;12;6.11.2021 15:00;Wiener Sport-Club;SV Fenastra Krenglbach;6:0;(3:0)
73;13;21.11.2021 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Wiener Sport-Club;4:3;(4:1)
74;13;21.11.2021 11:00;Union LUV Graz;RW Rankweil;2:0;(0:0)
75;13;21.11.2021 10:30;Carinthians LIWOdruck Hornets;SV Horn;1:1;(0:1)
76;13;20.11.2021 14:00;SC Neusiedl am See 1919;Wildcats 11teamsports Krottendorf;0:7;(0:3)
77;13;20.11.2021 14:00;SV Fenastra Krenglbach;FC Altera Porta;5:1;(1:1)
78;13;20.11.2021 14:00;Sportunion Raiffeisen Geretsberg;FC Mohren Dornbirn Damen;1:2;(0:1)
79;14;13.3.2022 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;FC Altera Porta;15:2;(5:1)
80;14;13.3.2022 14:00;Sportunion Raiffeisen Geretsberg;Wildcats 11teamsports Krottendorf;0:3;(0:1)
81;14;13.3.2022 14:00;Union LUV Graz;SV Horn;1:4;(1:1)
82;14;13.3.2022 12:15;Carinthians LIWOdruck Hornets;FC Mohren Dornbirn Damen;3:0;(1:0)
83;14;12.3.2022 15:00;SC Neusiedl am See 1919;USC Landhaus;2:1;(1:1)
84;14;12.3.2022 13:00;SV Fenastra Krenglbach;RW Rankweil;2:3;(1:2)
85;15;26.5.2022 14:30;FC Mohren Dornbirn Damen;Union LUV Graz;2:1;(0:1)
86;15;20.3.2022 14:30;Wildcats 11teamsports Krottendorf;Carinthians LIWOdruck Hornets;2:2;(1:2)
87;15;20.3.2022 12:00;FC Altera Porta;Wiener Sport-Club;2:3;(2:0)
88;15;20.3.2022 12:00;USC Landhaus;Sportunion Raiffeisen Geretsberg;3:1;(1:1)
89;15;20.3.2022 11:00;RW Rankweil;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:0;(0:0)
90;15;19.3.2022 14:00;SV Horn;SV Fenastra Krenglbach;2:1;(0:1)
91;16;27.3.2022 15:00;Union LUV Graz;Wildcats 11teamsports Krottendorf;1:3;(1:1)
92;16;27.3.2022 14:00;Carinthians LIWOdruck Hornets;USC Landhaus;3:0;(2:0)
93;16;27.3.2022 13:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;SV Horn;2:1;(2:0)
94;16;27.3.2022 11:30;Wiener Sport-Club;RW Rankweil;3:0;(1:0)
95;16;27.3.2022 11:00;SV Fenastra Krenglbach;FC Mohren Dornbirn Damen;1:2;(1:2)
96;16;26.3.2022 15:00;Sportunion Raiffeisen Geretsberg;SC Neusiedl am See 1919;2:0;(1:0)
97;17;10.4.2022 12:00;USC Landhaus;Union LUV Graz;1:4;(0:3)
98;17;10.4.2022 11:00;FC Mohren Dornbirn Damen;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;3:2;(0:1)
99;17;10.4.2022 11:00;RW Rankweil;FC Altera Porta;3:1;(2:0)
100;17;9.4.2022 16:00;SV Horn;Wiener Sport-Club;5:0;(3:0)
101;17;9.4.2022 16:00;Wildcats 11teamsports Krottendorf;SV Fenastra Krenglbach;2:1;(0:0)
102;17;9.4.2022 15:00;SC Neusiedl am See 1919;Carinthians LIWOdruck Hornets;0:4;(0:3)
103;18;17.4.2022 11:30;Wiener Sport-Club;FC Mohren Dornbirn Damen;4:6;(1:4)
104;18;16.4.2022 15:00;Carinthians LIWOdruck Hornets;Sportunion Raiffeisen Geretsberg;3:0;(1:0)
105;18;16.4.2022 15:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Wildcats 11teamsports Krottendorf;3:1;(2:0)
106;18;16.4.2022 15:00;SV Fenastra Krenglbach;USC Landhaus;1:2;(0:1)
107;18;16.4.2022 13:00;Union LUV Graz;SC Neusiedl am See 1919;9:0;(4:0)
108;18;15.4.2022 20:00;FC Altera Porta;SV Horn;0:4;(0:2)
109;19;24.4.2022 15:00;Wildcats 11teamsports Krottendorf;Wiener Sport-Club;5:1;(2:0)
110;19;24.4.2022 12:00;USC Landhaus;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;1:5;(0:2)
111;19;24.4.2022 11:00;SV Horn;RW Rankweil;4:0;(2:0)
112;19;24.4.2022 10:45;FC Mohren Dornbirn Damen;FC Altera Porta;13:0;(5:0)
113;19;23.4.2022 15:00;SC Neusiedl am See 1919;SV Fenastra Krenglbach;1:5;(0:2)
114;19;23.4.2022 14:00;Sportunion Raiffeisen Geretsberg;Union LUV Graz;1:1;(1:0)
115;20;1.5.2022 15:00;Wiener Sport-Club;USC Landhaus;3:3;(1:1)
116;20;1.5.2022 13:30;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;SC Neusiedl am See 1919;7:0;(3:0)
117;20;1.5.2022 11:00;FC Altera Porta;Wildcats 11teamsports Krottendorf;0:2;(0:2)
118;20;30.4.2022 16:00;SV Fenastra Krenglbach;Sportunion Raiffeisen Geretsberg;4:3;(3:2)
119;20;30.4.2022 15:00;RW Rankweil;FC Mohren Dornbirn Damen;0:2;(0:0)
120;20;30.4.2022 14:00;Union LUV Graz;Carinthians LIWOdruck Hornets;3:1;(1:0)
121;21;8.5.2022 14:00;Carinthians LIWOdruck Hornets;SV Fenastra Krenglbach;3:0;(2:0)
122;21;8.5.2022 12:00;USC Landhaus;FC Altera Porta;7:3;(6:1)
123;21;8.5.2022 11:00;FC Mohren Dornbirn Damen;SV Horn;1:1;(1:1)
124;21;8.5.2022 11:00;Wildcats 11teamsports Krottendorf;RW Rankweil;9:1;(2:0)
125;21;7.5.2022 15:00;SC Neusiedl am See 1919;Wiener Sport-Club;2:4;(1:2)
126;21;7.5.2022 14:00;Sportunion Raiffeisen Geretsberg;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;2:5;(1:4)
127;22;6.6.2022 15:00;SV Horn;Wildcats 11teamsports Krottendorf;1:3;(0:2)
128;22;15.5.2022 12:00;FC Altera Porta;SC Neusiedl am See 1919;1:2;(1:2)
129;22;15.5.2022 12:00;Wiener Sport-Club;Sportunion Raiffeisen Geretsberg;3:2;(1:1)
130;22;15.5.2022 11:00;RW Rankweil;USC Landhaus;2:0;(2:0)
131;22;14.5.2022 15:00;SV Fenastra Krenglbach;Union LUV Graz;3:4;(0:3)
132;22;14.5.2022 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Carinthians LIWOdruck Hornets;1:0;(0:0)
133;23;22.5.2022 14:00;Carinthians LIWOdruck Hornets;Wiener Sport-Club;5:2;(2:2)
134;23;22.5.2022 14:00;FC Altera Porta;Sportunion Raiffeisen Geretsberg;0:2;(0:2)
135;23;22.5.2022 11:00;SC Neusiedl am See 1919;RW Rankweil;1:2;(0:0)
136;23;22.5.2022 11:00;Wildcats 11teamsports Krottendorf;FC Mohren Dornbirn Damen;1:2;(1:2)
137;23;21.5.2022 14:30;USC Landhaus;SV Horn;0:4;(0:1)
138;23;21.5.2022 14:00;Union LUV Graz;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:1;(0:0)
139;24;29.5.2022 16:00;SV Horn;SC Neusiedl am See 1919;1:0;(0:0)
140;24;29.5.2022 15:00;Wiener Sport-Club;Union LUV Graz;1:6;(1:2)
141;24;29.5.2022 14:00;FC Altera Porta;Carinthians LIWOdruck Hornets;0:4;(0:3)
142;24;29.5.2022 14:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;SV Fenastra Krenglbach;6:3;(4:3)
143;24;29.5.2022 11:00;FC Mohren Dornbirn Damen;USC Landhaus;6:1;(0:0)
144;24;28.5.2022 14:00;RW Rankweil;Sportunion Raiffeisen Geretsberg;1:1;(0:1)
145;25;5.6.2022 14:30;Union LUV Graz;FC Altera Porta;7:0;(4:0)
146;25;5.6.2022 11:00;Carinthians LIWOdruck Hornets;RW Rankweil;3:0;(1:0)
147;25;5.6.2022 11:00;SC Neusiedl am See 1919;FC Mohren Dornbirn Damen;0:10;(0:5)
148;25;4.6.2022 17:00;Sportunion Raiffeisen Geretsberg;SV Horn;3:1;(2:0)
149;25;4.6.2022 17:00;USC Landhaus;Wildcats 11teamsports Krottendorf;3:7;(2:4)
150;25;4.6.2022 15:00;SV Fenastra Krenglbach;Wiener Sport-Club;3:2;(1:1)
151;26;11.6.2022 17:00;Wiener Sport-Club;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:1;(0:1)
152;26;11.6.2022 17:00;Wildcats 11teamsports Krottendorf;SC Neusiedl am See 1919;7:0;(3:0)
153;26;11.6.2022 16:00;SV Horn;Carinthians LIWOdruck Hornets;1:0;(1:0)
154;26;11.6.2022 15:00;FC Mohren Dornbirn Damen;Sportunion Raiffeisen Geretsberg;4:0;(1:0)
155;26;11.6.2022 14:00;FC Altera Porta;SV Fenastra Krenglbach;2:3;(1:0)
156;26;12.6.2022 11:00;RW Rankweil;Union LUV Graz;1:2;(0:1)
