Id;Date;Time;City;Male;Adults;ReasonForVisit;Schoolyear;Schooltype;Comment;Abendschule;Elektronik;Fachschule Elektronik;FS Inf;Informatik;Kolleg;Medientechnik;Medizintechnik
21;23.01.2020;16:00;Prambachkirchen;True;3;Anderes;8;NMS;;False;False;False;False;False;False;True;False
22;23.01.2020;16:00;Niederthalheim;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;True;False;True;False
23;23.01.2020;16:01;Leonding;True;3;Freunde, Schule, Guter Ruf;7;NMS;;False;True;False;False;True;False;False;False
24;23.01.2020;16:02;Waizenkirchen;False;1;Homepage, YouTube, Facebook, Instagram;7;AHS;;False;True;False;False;True;False;False;False
25;23.01.2020;16:02;Vorchdorf;True;3;Anderes;8;AHS;;False;True;False;False;True;False;False;False
26;23.01.2020;16:03;Linz;True;2;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;False;False;False;False;False;False;True
27;23.01.2020;16:04;Leonding;True;2;Anderes;8;NMS;Schule in der N?he;False;False;False;False;True;False;False;False
28;23.01.2020;16:04;Walding;True;2;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;False;True
29;23.01.2020;16:04;Linz;False;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
30;23.01.2020;16:05;Linz;True;1;Homepage, YouTube, Facebook, Instagram;8;AHS;Internet;False;False;False;False;True;False;False;False
31;23.01.2020;16:05;Ohlsdorf;True;2;Welser Messe;7;AHS;;False;False;False;False;False;False;True;False
32;23.01.2020;16:06;Puchenau;True;2;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;False;False;False;True;False;False;False
33;23.01.2020;16:06;Bruck-Waasen;False;1;Welser Messe;8;AHS;;False;False;False;False;False;False;True;False
34;23.01.2020;16:07;St. Marien;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;True;False;False;False
35;23.01.2020;16:07;Haibach im M?hlkreis;False;2;Welser Messe;8;NMS;;False;False;False;False;True;False;True;False
36;23.01.2020;16:07;Wilhering;True;1;Anderes;8;AHS;;False;False;False;False;True;False;False;False
37;23.01.2020;16:07;Neuhofen an der Ybbs;True;1;Homepage, YouTube, Facebook, Instagram;7;AHS;;False;False;False;False;False;False;True;False
38;23.01.2020;16:08;Linz-Urfahr;False;1;Welser Messe;8;NMS;;False;False;False;False;True;False;True;False
39;23.01.2020;16:08;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;Freunde;False;False;False;False;True;False;False;False
40;23.01.2020;16:09;Linz;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;True;False
41;23.01.2020;16:09;Linz;True;1;Welser Messe;8;AHS;Freunde;False;False;False;False;False;False;False;True
42;23.01.2020;16:09;Feldkirchen an der Donau;False;2;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;True;False
43;23.01.2020;16:10;Linz;True;1;Freunde, Schule, Guter Ruf;9;AHS;;False;False;False;False;False;False;True;False
44;23.01.2020;16:10;Linz;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;True;False;False;False
45;23.01.2020;16:10;Feldkirchen an der Donau;True;2;Welser Messe;7;NMS;;False;False;False;False;False;False;True;False
46;23.01.2020;16:11;Wilhering;False;2;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;False;False;False;True
47;23.01.2020;16:11;Feldkirchen an der Donau;True;1;Welser Messe;7;NMS;;False;True;False;False;False;False;False;False
48;23.01.2020;16:12;Strengberg;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;True;False;False;False;False;False;False
49;23.01.2020;16:12;Kirchberg-Thening;True;2;Welser Messe;8;AHS;;False;False;False;False;False;False;True;False
50;23.01.2020;16:12;Linz;True;2;Geschwister an der Schule;9;NMS;;False;False;False;False;False;False;True;False
51;23.01.2020;16:13;H?rsching;True;1;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;True;False;False;False;False;False;False
52;23.01.2020;16:13;Leonding;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;True;False
53;23.01.2020;16:14;Ried im Traunkreis;True;2;Welser Messe;9;NMS;;False;False;False;False;True;False;False;False
54;23.01.2020;16:14;Buchkirchen;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
55;23.01.2020;16:14;Pasching;True;1;Freunde, Schule, Guter Ruf;8;AHS;Familie, Bekannte;False;True;False;False;True;False;False;False
56;23.01.2020;16:15;Traun;True;2;Freunde, Schule, Guter Ruf;8;HS;;False;False;False;False;True;False;False;False
57;23.01.2020;16:15;Eidenberg;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;False;True
58;23.01.2020;16:15;Kirchberg-Thening;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
59;23.01.2020;16:16;Linz;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;True;False;False;False
60;23.01.2020;16:16;St. Pankraz;True;1;Freunde, Schule, Guter Ruf;7;AHS;Bekannte;False;True;False;False;True;False;False;False
61;23.01.2020;16:17;Wartberg an der Krems;True;1;Freunde, Schule, Guter Ruf;7;NMS;;False;False;False;False;True;False;False;False
62;23.01.2020;16:18;Linz-Urfahr;False;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;True;False
63;23.01.2020;16:18;Schlei?heim;True;2;Freunde, Schule, Guter Ruf;8;AHS;Freunde;False;False;False;False;True;False;False;False
64;23.01.2020;16:18;Leonding;False;1;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;True;False;False;False
65;23.01.2020;16:20;Hartkirchen;True;2;Homepage, YouTube, Facebook, Instagram;9;HTL;;False;False;False;False;True;False;False;False
66;23.01.2020;16:20;Steuerberg;True;2;Homepage, YouTube, Facebook, Instagram;7;NMS;;False;False;False;False;True;False;True;False
67;23.01.2020;16:21;Oberndorf bei Schwanenstadt;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
68;23.01.2020;16:21;Pilsbach;True;1;Homepage, YouTube, Facebook, Instagram;8;AHS;Internet;False;False;False;False;True;False;False;False
69;23.01.2020;16:21;Langenstein;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;True;False;False;False;False;False;False
70;23.01.2020;16:22;Schlei?heim;True;1;Welser Messe;8;AHS;;False;False;False;False;False;False;True;False
71;23.01.2020;16:23;Niederneukirchen;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
72;23.01.2020;16:23;St. Florian;True;1;Absolventen in der Familie;8;AHS;;False;False;False;False;True;False;False;False
73;23.01.2020;16:24;Linz;True;1;Homepage, YouTube, Facebook, Instagram;7;NMS;Recherche;False;False;False;False;True;False;False;False
74;23.01.2020;16:24;Pasching;True;1;Anderes;7;AHS;;False;True;False;False;True;False;False;False
75;23.01.2020;16:25;Abfaltersbach;True;2;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;False
76;23.01.2020;16:25;Leonding;True;1;Anderes;8;AHS;Wohnt in der N?he;False;False;False;False;True;False;False;False
77;23.01.2020;16:25;Traun;True;2;Freunde, Schule, Guter Ruf;8;AHS;Kennt man;False;False;False;False;True;False;False;False
78;23.01.2020;16:25;Linz;True;1;Homepage, YouTube, Facebook, Instagram;7;NMS;Recherche;False;False;False;False;True;False;False;False
79;23.01.2020;16:26;Leonding;True;2;Freunde, Schule, Guter Ruf;7;NMS;;False;False;False;False;False;False;True;False
80;23.01.2020;16:26;Manning;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
81;23.01.2020;16:26;Holzhausen;True;1;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;True;False;True;False
82;23.01.2020;16:26;Traun;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
83;23.01.2020;16:26;Puchenau;True;2;Welser Messe;8;NMS;;False;False;False;False;True;False;False;False
84;23.01.2020;16:27;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;True;False
85;23.01.2020;16:28;Wels;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;False
86;23.01.2020;16:29;Kremsm?nster;True;1;Freunde, Schule, Guter Ruf;8;AHS;Kennt man;False;False;False;False;False;False;True;False
87;23.01.2020;16:30;Linz-Urfahr;False;1;Absolventen in der Familie;8;NMS;;False;False;False;False;False;False;True;False
88;23.01.2020;16:30;Attnang-Puchheim;True;1;Freunde, Schule, Guter Ruf;8;HS;;False;False;False;False;True;False;False;False
89;23.01.2020;16:31;Pasching;False;1;Absolventen in der Familie;7;AHS;;False;False;False;False;False;False;True;False
90;23.01.2020;16:31;Ansfelden;True;2;Absolventen in der Familie;8;NMS;;False;False;False;False;True;False;False;False
91;23.01.2020;16:32;Traun;True;1;Anderes;8;NMS;Potenzialanalyse;False;False;False;False;False;False;False;True
92;23.01.2020;16:32;Kematen an der Krems;True;2;Freunde, Schule, Guter Ruf;8;NMS;Kennt man;False;False;False;False;False;False;False;False
93;23.01.2020;16:33;Traun;True;2;Werbung Straßenbahn;8;NMS;;False;False;False;False;False;False;False;True
94;23.01.2020;16:33;H?rsching;True;2;Freunde, Schule, Guter Ruf;8;AHS;Freunde;False;True;False;False;True;False;False;False
95;23.01.2020;16:34;Linz-Urfahr;True;1;Werbung Straßenbahn;8;AHS;;False;False;False;False;True;False;True;False
96;23.01.2020;16:34;Wei?kirchen an der Traun;True;2;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
97;23.01.2020;16:34;Pasching;True;1;Welser Messe;7;AHS;;False;True;False;False;False;False;False;False
98;23.01.2020;16:36;Linz;True;2;Homepage, YouTube, Facebook, Instagram;8;AHS;Internet;False;False;False;False;False;False;False;False
99;23.01.2020;16:36;Leonding;True;1;Absolventen in der Familie;7;AHS;;False;False;False;False;True;False;False;False
100;23.01.2020;16:37;Linz;True;1;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;False;False;True;False
101;23.01.2020;16:37;Neuhofen an der Krems;True;1;Geschwister an der Schule;7;NMS;;False;False;False;False;False;False;True;True
102;23.01.2020;16:37;Schiedlberg;True;1;Freunde, Schule, Guter Ruf;9;HBLA;Letztes Jahr schon da;False;False;False;False;False;False;True;False
103;23.01.2020;16:38;Schlei?heim;True;1;Freunde, Schule, Guter Ruf;7;AHS;;False;True;False;False;False;False;False;False
104;23.01.2020;16:40;Desselbrunn;True;2;Welser Messe;8;AHS;;False;False;False;False;True;False;False;False
105;23.01.2020;16:43;Linz;True;1;Geschwister an der Schule;8;NMS;;False;False;False;False;False;False;False;False
106;23.01.2020;16:46;Pucking;True;2;Freunde, Schule, Guter Ruf;8;HS;;False;False;False;False;False;False;False;False
107;23.01.2020;16:48;Leonding;True;2;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;True;False;False;True;False;True;True
108;23.01.2020;16:49;Linz;True;3;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;False
109;23.01.2020;16:52;Neuhofen an der Ybbs;False;3;Freunde, Schule, Guter Ruf;7;NMS;;False;False;False;False;False;False;True;False
110;23.01.2020;16:52;Hagenberg im M?hlkreis;True;1;Anderes;7;AHS;;False;False;False;False;True;False;False;False
111;23.01.2020;16:53;Sattledt;True;2;Homepage, YouTube, Facebook, Instagram;7;NMS;;False;False;False;False;True;False;False;False
112;23.01.2020;16:55;Haibach im M?hlkreis;True;2;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;True;False;False;False
113;23.01.2020;16:58;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
114;23.01.2020;17:01;Linz-Urfahr;True;1;Geschwister an der Schule;8;AHS;;False;False;False;False;True;False;False;False
115;23.01.2020;17:04;Gunskirchen;True;1;Freunde, Schule, Guter Ruf;7;NMS;;False;False;False;False;True;False;True;False
116;23.01.2020;17:10;Neuhofen an der Krems;False;2;Welser Messe;8;NMS;;False;False;False;False;True;False;True;True
117;23.01.2020;17:18;Leonding;True;1;Kenne Absolventen;13;HBLA;;False;False;False;False;False;False;False;True
118;23.01.2020;17:21;Ennsdorf;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;False
119;23.01.2020;17:28;Linz;False;2;Welser Messe;7;NMS;;False;False;False;False;True;False;False;False
120;23.01.2020;17:38;Sattledt;False;1;Welser Messe;7;NMS;;False;False;False;False;False;False;False;True
121;23.01.2020;17:49;Linz;False;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;False;True
122;23.01.2020;17:58;Sattledt;True;1;Homepage, YouTube, Facebook, Instagram;7;NMS;;False;False;False;False;False;False;False;True
123;23.01.2020;18:35;Ansfelden;True;1;Absolventen in der Familie;8;NMS;;False;False;False;False;False;False;False;True
124;24.01.2020;09:13;Ottnang am Hausruck;False;0;Welser Messe;8;HS;;False;False;False;False;True;False;False;False
125;24.01.2020;09:14;Ottnang am Hausruck;False;0;Welser Messe;8;HS;;False;False;False;False;False;False;True;False
126;24.01.2020;09:40;Edlbach;True;2;Welser Messe;8;NMS;;False;False;False;False;True;False;False;False
127;24.01.2020;09:48;Eidenberg;True;0;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
128;24.01.2020;09:57;Neuhofen an der Krems;True;1;Welser Messe;8;NMS;;False;False;False;False;True;False;True;False
129;24.01.2020;09:57;Linz;True;0;Geschwister an der Schule;8;NMS;;False;False;False;False;False;False;True;False
130;24.01.2020;09:59;Walding;True;0;Welser Messe;8;NMS;;False;False;False;False;True;False;True;False
131;24.01.2020;10:00;Walding;True;0;Welser Messe;8;NMS;;False;False;False;False;True;False;False;False
132;24.01.2020;10:03;Spital am Pyhrn;True;1;Geschwister an der Schule;8;AHS;;False;False;False;False;True;False;True;False
133;24.01.2020;10:04;Leonding;True;2;Homepage, YouTube, Facebook, Instagram;7;NMS;;False;False;False;False;True;False;False;False
134;24.01.2020;10:04;St. Marienkirchen am Hausruck;True;2;Welser Messe;8;NMS;;False;False;False;False;False;False;True;False
135;24.01.2020;10:07;Innsbruck;True;1;Welser Messe;8;HS;;False;False;False;False;True;False;False;False
136;24.01.2020;10:09;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
137;24.01.2020;10:21;Linz;True;1;Freunde, Schule, Guter Ruf;9;Fachschule;;False;False;False;False;True;False;True;False
138;24.01.2020;10:22;Linz-Urfahr;True;0;Welser Messe;8;NMS;;False;False;False;False;True;False;False;False
139;24.01.2020;10:22;Linz;True;2;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;False
140;24.01.2020;10:22;Linz;True;0;Homepage, YouTube, Facebook, Instagram;9;NMS;;False;False;False;False;True;False;True;False
141;24.01.2020;10:22;Linz;True;0;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
142;24.01.2020;10:30;Pasching;True;1;Freunde, Schule, Guter Ruf;7;NMS;;False;False;False;False;True;False;False;True
143;24.01.2020;10:31;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;True
144;24.01.2020;10:39;Pasching;True;1;Welser Messe;8;NMS;;False;False;False;False;True;False;False;False
145;24.01.2020;10:40;Altaussee;True;2;Freunde, Schule, Guter Ruf;7;NMS;;False;False;False;False;True;False;False;False
146;24.01.2020;10:46;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
147;24.01.2020;10:49;Irdning-Donnersbachtal;False;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
148;24.01.2020;10:50;Irdning-Donnersbachtal;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
149;24.01.2020;10:50;Linz;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;False;False
150;24.01.2020;11:01;Ansfelden;True;1;Welser Messe;8;AHS;;False;False;False;False;False;False;False;True
151;24.01.2020;11:04;Bad Wimsbach-Neydharting;False;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;True
152;24.01.2020;11:06;Gutau;False;2;Welser Messe;8;AHS;;False;False;False;False;False;False;False;True
153;24.01.2020;11:10;Altenberg bei Linz;True;1;Welser Messe;7;NMS;;False;False;False;False;True;False;False;False
154;24.01.2020;11:10;Linz;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
155;24.01.2020;11:10;Linz;True;0;Geschwister an der Schule;8;NMS;;False;True;False;False;True;False;False;False
156;24.01.2020;11:10;Hofamt Priel;True;2;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;False;True
157;24.01.2020;11:11;Linz-Urfahr;False;2;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;False
158;24.01.2020;11:11;Altenberg bei Linz;True;2;Welser Messe;7;NMS;;False;False;False;False;False;False;False;True
159;24.01.2020;11:13;H?rsching;True;1;Welser Messe;8;AHS;;False;False;False;False;False;False;False;True
160;24.01.2020;11:15;Linz;True;2;Welser Messe;7;NMS;;False;False;False;False;True;False;False;False
161;24.01.2020;11:16;Wien;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
162;24.01.2020;11:23;Wels;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
163;24.01.2020;11:24;Kleinzell;False;1;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;False;False;False;False;False;False;True
164;24.01.2020;11:25;Leonding;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;True;False
165;24.01.2020;11:26;Linz;True;0;Homepage, YouTube, Facebook, Instagram;9;Lehre;;False;False;False;False;True;False;False;False
166;24.01.2020;11:28;St. Ulrich bei Steyr;True;1;Kenne Absolventen;7;NMS;;False;False;False;False;True;False;False;False
167;24.01.2020;11:29;Linz;True;0;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;False;False;False;True;False;False;False
168;24.01.2020;11:29;Linz;True;0;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
169;24.01.2020;11:30;Linz;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
170;24.01.2020;11:30;Steinbach am Attersee;False;1;Welser Messe;8;AHS;;False;False;False;False;True;False;False;False
171;24.01.2020;11:31;Linz;True;1;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;False;False;False;True;False;False;False
172;24.01.2020;11:32;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;True;False
173;24.01.2020;11:33;Linz;False;1;Geschwister an der Schule;7;NMS;;False;False;False;False;False;False;False;True
174;24.01.2020;11:33;Linz;True;2;Homepage, YouTube, Facebook, Instagram;9;NMS;;False;False;False;False;True;False;False;False
175;24.01.2020;11:34;Linz;False;0;Freunde, Schule, Guter Ruf;7;NMS;;False;False;False;False;False;False;False;True
176;24.01.2020;11:35;Pasching;False;1;Freunde, Schule, Guter Ruf;9;NMS;;False;False;False;False;False;False;False;True
177;24.01.2020;11:35;St. Florian;False;1;Welser Messe;8;AHS;;False;False;False;False;False;False;False;True
178;24.01.2020;11:36;Linz;False;0;Freunde, Schule, Guter Ruf;9;NMS;;False;False;False;False;False;False;False;True
179;24.01.2020;11:37;Linz;False;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;False;True
180;24.01.2020;11:37;Linz;True;1;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;True;False;False;False
181;24.01.2020;11:38;Linz;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;True;False
182;24.01.2020;11:39;Linz;True;0;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;True;False;False;False;False;True;False
183;24.01.2020;11:39;Leonding;True;0;Freunde, Schule, Guter Ruf;8;AHS;;False;True;False;False;True;False;False;False
184;24.01.2020;11:39;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
185;24.01.2020;11:44;Linz-Urfahr;True;1;Homepage, YouTube, Facebook, Instagram;7;AHS;;False;False;False;False;True;False;False;False
186;24.01.2020;11:45;Eferding;True;1;Freunde, Schule, Guter Ruf;13;Lehre;;False;True;False;False;False;False;False;False
187;24.01.2020;11:48;Pregarten;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;False;False
188;24.01.2020;11:49;H?rsching;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;False;True
189;24.01.2020;11:58;Pfaffing;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
190;24.01.2020;12:01;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
191;24.01.2020;12:04;Traun;True;0;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
192;24.01.2020;12:05;Gro?petersdorf;True;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
193;24.01.2020;12:06;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;False;False
194;24.01.2020;12:09;Ennsdorf;True;2;Geschwister an der Schule;8;AHS;;False;False;False;False;True;False;False;False
195;24.01.2020;12:10;Ansfelden;True;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;True;False;True;False
196;24.01.2020;12:10;Niederneukirchen;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
197;24.01.2020;12:11;Wei?kirchen an der Traun;True;1;Absolventen in der Familie;8;AHS;;False;False;False;False;True;False;True;False
198;24.01.2020;12:11;Wei?kirchen an der Traun;False;1;Absolventen in der Familie;8;AHS;;False;False;False;False;True;False;True;False
199;24.01.2020;12:15;Atzbach;True;1;Kenne Absolventen;8;NMS;;False;False;False;False;True;False;False;False
200;24.01.2020;12:16;Linz-Urfahr;True;2;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;False;False;True;False
201;24.01.2020;12:17;Aurach am Hongar;True;2;Welser Messe;8;AHS;;False;True;False;False;True;False;False;False
202;24.01.2020;12:22;Linz-Urfahr;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;True;False
203;24.01.2020;12:23;Linz;True;2;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;True;False;False;False
204;24.01.2020;12:23;Linz;True;0;Freunde, Schule, Guter Ruf;9;NMS;;False;False;False;False;True;False;True;False
205;24.01.2020;12:24;Feldkirchen an der Donau;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
206;24.01.2020;12:26;Langenstein;True;1;Kenne Absolventen;8;AHS;;False;False;False;False;True;False;True;False
207;24.01.2020;12:26;Schlei?heim;True;2;Welser Messe;7;AHS;;False;False;False;False;False;False;True;False
208;24.01.2020;12:27;Linz-Urfahr;False;3;Welser Messe;8;AHS;;False;False;False;False;False;False;False;True
209;24.01.2020;12:27;Linz-Urfahr;False;0;Welser Messe;8;AHS;;False;False;False;False;False;False;False;True
210;24.01.2020;12:28;Regau;True;1;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;False;False;False;True;False;False;False
211;24.01.2020;12:30;Linz-Urfahr;False;0;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
212;24.01.2020;12:30;Ottensheim;True;1;Werbung Straßenbahn;9;Fachschule;;False;False;False;False;True;False;False;False
213;24.01.2020;12:32;Linz;False;1;Welser Messe;7;AHS;;False;False;False;False;False;False;False;True
214;24.01.2020;12:33;Marchtrenk;True;1;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;True;False;False;False
215;24.01.2020;12:33;Ernsthofen;True;1;Homepage, YouTube, Facebook, Instagram;8;AHS;;False;False;False;False;True;False;False;False
216;24.01.2020;12:35;Marchtrenk;True;1;Absolventen in der Familie;8;AHS;;False;False;False;False;True;False;False;False
217;24.01.2020;12:36;Linz-Urfahr;False;0;Freunde, Schule, Guter Ruf;8;NMS;;False;True;False;False;False;False;False;True
218;24.01.2020;12:41;Timelkam;False;1;Plakat;8;NMS;;False;False;False;False;False;False;True;False
219;24.01.2020;12:43;Rohrbach-Berg;False;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;False;True
220;24.01.2020;12:45;Linz;False;1;Welser Messe;8;AHS;;False;False;False;False;False;False;False;True
221;24.01.2020;12:48;Linz;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;True;False
222;24.01.2020;12:48;Linz;True;2;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;False;False;False;False
223;24.01.2020;12:49;Leonding;True;1;Homepage, YouTube, Facebook, Instagram;7;AHS;;False;True;False;False;True;False;False;False
