ProductCode;Description;TaxClass;Retail
139;Artikelbezeichnung 139;A;4.55
140;Artikelbezeichnung 140;A;4.59
141;Artikelbezeichnung 141;A;1.77
142;Artikelbezeichnung 142;A;0.36
143;Artikelbezeichnung 143;A;3.12
144;Artikelbezeichnung 144;A;2.43
145;Artikelbezeichnung 145;A;4.05
146;Artikelbezeichnung 146;A;0.34
147;Artikelbezeichnung 147;A;4.54
148;Artikelbezeichnung 148;A;9.30
149;Artikelbezeichnung 149;A;3.63
150;Artikelbezeichnung 150;A;2.91
151;Artikelbezeichnung 151;A;4.36
152;Artikelbezeichnung 152;A;8.21
153;Artikelbezeichnung 153;A;7.73
154;Artikelbezeichnung 154;A;3.75
155;Artikelbezeichnung 155;A;9.34
156;Artikelbezeichnung 156;A;0.02
157;Artikelbezeichnung 157;A;6.62
158;Artikelbezeichnung 158;A;3.10
159;Artikelbezeichnung 159;A;3.00
160;Artikelbezeichnung 160;A;4.01
161;Artikelbezeichnung 161;A;7.39
162;Artikelbezeichnung 162;A;3.02
163;Artikelbezeichnung 163;A;6.42
164;Artikelbezeichnung 164;A;7.98
165;Artikelbezeichnung 165;A;8.08
166;Artikelbezeichnung 166;A;1.54
167;Artikelbezeichnung 167;A;3.11
168;Artikelbezeichnung 168;A;8.67
169;Artikelbezeichnung 169;A;9.87
170;Artikelbezeichnung 170;A;3.76
171;Artikelbezeichnung 171;A;9.83
172;Artikelbezeichnung 172;A;2.79
173;Artikelbezeichnung 173;A;9.15
174;Artikelbezeichnung 174;A;9.04
175;Artikelbezeichnung 175;A;1.61
176;Artikelbezeichnung 176;A;7.73
177;Artikelbezeichnung 177;A;4.32
178;Artikelbezeichnung 178;A;5.49
179;Artikelbezeichnung 179;A;8.19
180;Artikelbezeichnung 180;A;7.17
181;Artikelbezeichnung 181;A;6.48
182;Artikelbezeichnung 182;A;8.63
183;Artikelbezeichnung 183;A;5.12
184;Artikelbezeichnung 184;A;5.73
185;Artikelbezeichnung 185;A;3.37
186;Artikelbezeichnung 186;A;4.04
187;Artikelbezeichnung 187;A;7.05
188;Artikelbezeichnung 188;A;2.50
189;Artikelbezeichnung 189;A;4.39
190;Artikelbezeichnung 190;A;6.20
191;Artikelbezeichnung 191;A;4.17
192;Artikelbezeichnung 192;A;0.25
193;Artikelbezeichnung 193;A;5.47
194;Artikelbezeichnung 194;A;9.86
195;Artikelbezeichnung 195;A;3.91
196;Artikelbezeichnung 196;A;8.19
197;Artikelbezeichnung 197;A;8.27
198;Artikelbezeichnung 198;A;0.62
199;Artikelbezeichnung 199;A;8.66
200;Artikelbezeichnung 200;A;5.22
201;Artikelbezeichnung 201;A;1.57
202;Artikelbezeichnung 202;A;5.68
203;Artikelbezeichnung 203;A;1.33
204;Artikelbezeichnung 204;A;0.63
205;Artikelbezeichnung 205;A;2.73
206;Artikelbezeichnung 206;A;6.22
207;Artikelbezeichnung 207;A;4.30
208;Artikelbezeichnung 208;A;3.32
209;Artikelbezeichnung 209;A;6.27
210;Artikelbezeichnung 210;A;0.62
211;Artikelbezeichnung 211;A;7.69
212;Artikelbezeichnung 212;A;0.42
213;Artikelbezeichnung 213;A;4.54
214;Artikelbezeichnung 214;A;7.93
215;Artikelbezeichnung 215;A;0.47
216;Artikelbezeichnung 216;A;5.07
217;Artikelbezeichnung 217;A;4.36
218;Artikelbezeichnung 218;A;4.69
219;Artikelbezeichnung 219;A;3.42
220;Artikelbezeichnung 220;A;3.60
221;Artikelbezeichnung 221;A;7.51
222;Artikelbezeichnung 222;A;6.58
223;Artikelbezeichnung 223;A;0.49
224;Artikelbezeichnung 224;A;6.44
225;Artikelbezeichnung 225;A;8.31
226;Artikelbezeichnung 226;A;8.81
227;Artikelbezeichnung 227;A;1.09
228;Artikelbezeichnung 228;A;1.99
229;Artikelbezeichnung 229;A;4.15
230;Artikelbezeichnung 230;A;9.21
231;Artikelbezeichnung 231;A;5.62
232;Artikelbezeichnung 232;A;8.81
233;Artikelbezeichnung 233;A;4.80
234;Artikelbezeichnung 234;A;5.73
235;Artikelbezeichnung 235;A;8.99
236;Artikelbezeichnung 236;A;6.07
237;Artikelbezeichnung 237;A;8.39
238;Artikelbezeichnung 238;A;4.64
239;Artikelbezeichnung 239;A;3.04
240;Artikelbezeichnung 240;A;9.41
241;Artikelbezeichnung 241;A;9.81
242;Artikelbezeichnung 242;A;7.02
243;Artikelbezeichnung 243;A;8.53
244;Artikelbezeichnung 244;A;4.17
245;Artikelbezeichnung 245;A;7.14
246;Artikelbezeichnung 246;A;4.74
247;Artikelbezeichnung 247;A;5.18
248;Artikelbezeichnung 248;A;5.24
249;Artikelbezeichnung 249;A;9.53
250;Artikelbezeichnung 250;A;0.66
251;Artikelbezeichnung 251;A;2.12
252;Artikelbezeichnung 252;A;4.17
253;Artikelbezeichnung 253;A;7.15
254;Artikelbezeichnung 254;A;5.38
255;Artikelbezeichnung 255;A;6.82
256;Artikelbezeichnung 256;A;2.90
257;Artikelbezeichnung 257;A;5.09
258;Artikelbezeichnung 258;A;9.53
259;Artikelbezeichnung 259;A;5.51
260;Artikelbezeichnung 260;A;8.01
261;Artikelbezeichnung 261;A;1.20
262;Artikelbezeichnung 262;A;4.95
263;Artikelbezeichnung 263;A;9.72
264;Artikelbezeichnung 264;A;5.94
265;Artikelbezeichnung 265;A;2.83
266;Artikelbezeichnung 266;A;1.94
267;Artikelbezeichnung 267;A;0.10
268;Artikelbezeichnung 268;A;4.58
269;Artikelbezeichnung 269;A;2.20
270;Artikelbezeichnung 270;A;8.86
271;Artikelbezeichnung 271;A;9.12
272;Artikelbezeichnung 272;A;5.24
273;Artikelbezeichnung 273;A;8.32
274;Artikelbezeichnung 274;A;3.35
275;Artikelbezeichnung 275;A;5.14
276;Artikelbezeichnung 276;A;7.97
277;Artikelbezeichnung 277;A;0.58
278;Artikelbezeichnung 278;A;1.65
279;Artikelbezeichnung 279;A;7.65
280;Artikelbezeichnung 280;A;0.96
281;Artikelbezeichnung 281;A;4.15
282;Artikelbezeichnung 282;A;3.34
283;Artikelbezeichnung 283;A;0.66
284;Artikelbezeichnung 284;A;1.91
285;Artikelbezeichnung 285;A;7.60
286;Artikelbezeichnung 286;A;2.41
287;Artikelbezeichnung 287;A;6.20
288;Artikelbezeichnung 288;A;1.12
289;Artikelbezeichnung 289;A;9.50
290;Artikelbezeichnung 290;A;9.63
291;Artikelbezeichnung 291;A;1.43
292;Artikelbezeichnung 292;A;1.83
293;Artikelbezeichnung 293;A;2.66
294;Artikelbezeichnung 294;A;6.21
295;Artikelbezeichnung 295;A;6.62
296;Artikelbezeichnung 296;A;3.96
